Ref,Val,Package,PosX,PosY,Rot,Side
"C115","2.2 uF","C_2220_Sm",-42.500000,50.200000,180.000000,bottom
"C116","2.2 uF","C_2220_Sm",-28.900000,50.200000,180.000000,bottom
"C117","2.2 uF","C_2220_Sm",-28.900000,89.400000,180.000000,bottom
"C121","2.2 uF","C_2220_Sm",12.100000,100.610470,180.000000,bottom
"C122","2.2 uF","C_2220_Sm",12.100000,39.000000,180.000000,bottom
"C123","2.2 uF","C_2220_Sm",-42.000000,95.000000,0.000000,bottom
"C124","2.2 uF","C_2220_Sm",-42.500000,44.600000,180.000000,bottom
"C127","2.2 uF","C_2220_Sm",12.600000,72.600000,-0.000000,bottom
"C128","2.2 uF","C_2220_Sm",12.600000,83.800000,-0.000000,bottom
"C129","2.2 uF","C_2220_Sm",12.600000,106.200000,-0.000000,bottom
"C130","2.2 uF","C_2220_Sm",12.100000,89.400000,180.000000,bottom
"C141","2.2 uF","C_2220_Sm",-1.100000,17.800000,0.000000,bottom
"C150","2.2 uF","C_2220_Sm",12.100000,95.000000,180.000000,bottom
"C151","2.2 uF","C_2220_Sm",-42.000000,44.600000,0.000000,bottom
"C159","2.2 uF","C_2220_Sm",-42.000000,61.400000,0.000000,bottom
"C173","2.2 uF","C_2220_Sm",-56.100000,29.000000,180.000000,bottom
"C181","2.2 uF","C_2220_Sm",-56.100000,17.800000,180.000000,bottom
"C182","2.2 uF","C_2220_Sm",-42.500000,95.000000,180.000000,bottom
"C183","2.2 uF","C_2220_Sm",12.100000,50.200000,180.000000,bottom
"C184","2.2 uF","C_2220_Sm",-42.000000,83.800000,0.000000,bottom
"C185","2.2 uF","C_2220_Sm",-42.500000,55.800000,180.000000,bottom
"C186","2.2 uF","C_2220_Sm",-28.900000,55.800000,180.000000,bottom
"C187","2.2 uF","C_2220_Sm",-28.900000,95.000000,180.000000,bottom
"C202","2.2 uF","C_2220_Sm",-56.100000,95.000000,180.000000,bottom
"C204","2.2 uF","C_2220_Sm",-14.800000,23.400000,0.000000,bottom
"C205","2.2 uF","C_2220_Sm",-1.100000,55.800000,0.000000,bottom
"C206","2.2 uF","C_2220_Sm",-1.600000,83.800000,180.000000,bottom
"C207","2.2 uF","C_2220_Sm",-14.800000,67.000000,0.000000,bottom
"C208","2.2 uF","C_2220_Sm",-15.300000,72.600000,180.000000,bottom
"C210","2.2 uF","C_2220_Sm",-14.800000,12.200000,0.000000,bottom
"C214","2.2 uF","C_2220_Sm",-55.600000,44.600000,0.000000,bottom
"C216","2.2 uF","C_2220_Sm",-1.100000,50.200000,0.000000,bottom
"C217","2.2 uF","C_2220_Sm",-1.600000,89.400000,180.000000,bottom
"C218","2.2 uF","C_2220_Sm",-14.800000,61.400000,0.000000,bottom
"C219","2.2 uF","C_2220_Sm",-1.600000,67.000000,180.000000,bottom
"C220","2.2 uF","C_2220_Sm",-42.000000,6.600000,0.000000,bottom
"C221","2.2 uF","C_2220_Sm",-28.900000,1.000000,180.000000,bottom
"C222","2.2 uF","C_2220_Sm",-15.300000,50.200000,180.000000,bottom
"C223","2.2 uF","C_2220_Sm",-14.800000,89.400000,0.000000,bottom
"C224","2.2 uF","C_2220_Sm",-1.600000,61.400000,180.000000,bottom
"C225","2.2 uF","C_2220_Sm",-55.600000,72.600000,0.000000,bottom
"C226","2.2 uF","C_2220_Sm",-56.100000,72.600000,180.000000,bottom
"C227","2.2 uF","C_2220_Sm",-15.300000,29.000000,180.000000,bottom
"C228","2.2 uF","C_2220_Sm",-1.600000,17.800000,180.000000,bottom
"C229","2.2 uF","C_2220_Sm",-42.000000,12.200000,0.000000,bottom
"C230","2.2 uF","C_2220_Sm",-56.100000,89.400000,180.000000,bottom
"C231","2.2 uF","C_2220_Sm",-1.600000,23.400000,180.000000,bottom
"C232","2.2 uF","C_2220_Sm",-28.400000,95.000000,-0.000000,bottom
"C233","2.2 uF","C_2220_Sm",-56.100000,78.200000,180.000000,bottom
"C234","2.2 uF","C_2220_Sm",-55.600000,67.000000,0.000000,bottom
"C235","2.2 uF","C_2220_Sm",-1.100000,72.600000,0.000000,bottom
"C236","2.2 uF","C_2220_Sm",-55.600000,34.700000,0.000000,bottom
"C238","2.2 uF","C_2220_Sm",-15.300000,55.800000,180.000000,bottom
"C239","2.2 uF","C_2220_Sm",-28.400000,61.400000,-0.000000,bottom
"C240","2.2 uF","C_2220_Sm",-14.800000,29.000000,0.000000,bottom
"C241","2.2 uF","C_2220_Sm",-1.600000,29.000000,180.000000,bottom
"C242","2.2 uF","C_2220_Sm",-28.400000,89.400000,-0.000000,bottom
"C243","2.2 uF","C_2220_Sm",-28.400000,17.800000,0.000000,bottom
"C244","2.2 uF","C_2220_Sm",-56.100000,83.800000,180.000000,bottom
"C245","2.2 uF","C_2220_Sm",-55.600000,61.400000,0.000000,bottom
